Time (s),Torque (Nm)
12.283,1.304
12.294,-1.315
12.304,0.096
12.315,1.103
12.326,-0.307
12.336,-0.106
12.347,0.901
12.357,0.901
12.368,1.707
12.378,0.700
12.389,2.110
12.399,1.506
12.410,0.901
12.420,0.700
12.431,-2.120
12.442,0.901
12.452,1.506
12.463,0.297
12.473,1.304
12.484,1.304
12.494,0.498
12.505,1.909
12.515,0.901
12.526,-0.912
12.537,0.901
12.547,-0.710
12.559,-0.912
12.568,-0.106
12.579,-0.106
12.590,0.700
12.600,-0.106
12.610,-1.315
12.621,-0.710
12.632,-1.516
12.642,-1.113
12.653,0.901
12.663,-2.322
12.674,-0.710
12.684,-0.509
12.695,-1.516
12.706,0.901
12.716,-0.106
12.727,-0.710
12.737,0.700
12.748,-1.516
12.758,-1.315
12.769,-0.307
12.780,-0.710
12.790,0.498
12.801,0.096
12.811,-0.106
12.822,0.700
12.832,-1.919
12.843,-1.718
12.853,-0.509
12.864,-2.926
12.875,-1.919
12.885,-1.516
12.896,-2.322
12.912,-0.509
12.919,-1.113
12.927,-0.912
12.938,0.498
12.949,-0.509
12.959,-1.113
12.970,0.096
12.980,-1.315
12.991,0.096
13.002,-0.307
13.012,-1.516
13.023,0.901
13.033,-0.106
13.044,0.297
13.054,-0.106
13.065,-1.315
13.076,-0.307
13.086,0.700
13.097,-1.718
13.107,-0.710
13.118,-0.509
13.128,-0.509
13.139,0.096
13.149,-0.509
13.160,-1.113
13.171,1.304
13.181,-1.516
13.192,-1.113
13.202,-0.509
13.213,-1.516
13.223,-0.509
13.234,0.498
13.245,0.498
13.255,0.096
13.266,-0.912
13.276,-1.315
13.287,-0.307
13.297,-1.516
13.308,-0.106
13.318,-0.106
13.329,-0.106
13.343,-0.307
13.350,-0.509
13.363,-0.912
13.371,-0.106
13.382,-0.710
13.392,-1.315
13.403,-0.509
13.414,-1.516
13.424,-0.710
13.435,0.297
13.446,-1.113
13.457,0.297
13.468,-0.509
13.484,-1.919
13.490,-0.307
13.500,-1.919
13.509,-0.710
13.525,-0.912
13.531,-0.307
13.543,-0.710
13.554,-0.710
13.563,-0.307
13.573,-0.912
13.583,0.297
13.595,-1.315
13.604,-0.509
13.614,-1.315
13.625,-0.509
13.642,0.297
13.652,-1.113
13.664,-0.106
13.677,-0.307
13.680,-0.710
13.694,-0.106
13.700,2.312
13.712,-0.509
13.720,1.304
13.730,-1.919
13.741,1.506
13.751,1.506
13.762,0.498
13.773,1.909
13.783,1.103
13.794,0.498
13.804,1.304
13.815,0.297
13.825,0.498
13.836,1.103
13.847,-0.106
13.857,1.103
13.868,1.506
13.878,0.498
13.889,1.304
13.899,0.901
13.910,0.096
13.920,1.304
13.931,-1.516
13.942,-0.307
13.952,1.707
13.963,0.498
13.973,1.707
13.984,1.707
13.994,0.700
14.005,1.909
14.015,0.700
14.026,0.700
14.036,1.506
14.047,0.297
14.058,1.103
14.068,-0.106
14.079,0.700
14.089,2.110
14.100,1.707
14.110,0.700
14.121,1.506
14.131,0.297
14.142,0.901
14.152,1.304
14.163,-0.106
14.174,1.304
14.184,0.096
14.195,1.304
14.205,1.707
14.216,0.901
14.226,0.498
14.237,1.304
14.247,0.096
14.258,0.700
14.269,0.096
14.279,0.901
14.290,2.110
14.300,1.707
14.311,1.103
14.321,0.498
14.332,0.901
14.342,0.498
14.353,1.304
14.364,-0.307
14.374,0.901
14.385,1.506
14.395,0.498
14.406,2.110
14.416,1.103
14.427,0.901
14.437,-0.912
14.448,-0.106
